"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2023","1,564.77","1,523.44","1,564.81","1,493.25","","1.66%"
"04/02/2023","1,539.29","1,517.08","1,540.66","1,516.10","","1.52%"
"03/26/2023","1,516.31","1,450.77","1,523.09","1,449.38","","4.99%"
"03/19/2023","1,444.20","1,427.86","1,479.14","1,427.01","","2.08%"
"03/12/2023","1,414.80","1,452.78","1,470.86","1,401.79","","-3.54%"
"03/05/2023","1,466.78","1,510.54","1,515.88","1,464.72","","-3.16%"
"02/26/2023","1,514.65","1,485.36","1,515.44","1,484.49","","2.68%"
"02/19/2023","1,475.09","1,517.65","1,517.65","1,470.20","","-2.80%"
"02/12/2023","1,517.65","1,493.90","1,517.65","1,493.90","","1.73%"
"02/05/2023","1,491.78","1,517.84","1,520.75","1,486.25","","-1.83%"
"01/29/2023","1,519.59","1,529.59","1,553.55","1,517.71","","-0.86%"
"01/22/2023","1,532.78","1,525.02","1,541.75","1,521.53","","0.41%"
"01/15/2023","1,526.46","1,512.92","1,535.42","1,503.26","","0.90%"
"01/08/2023","1,512.91","1,475.82","1,513.48","1,471.56","","3.23%"
"01/01/2023","1,465.60","1,393.99","1,466.43","1,393.99","","5.14%"
"12/25/2022","1,393.98","1,406.65","1,413.78","1,392.35","","-0.90%"
"12/18/2022","1,406.65","1,394.27","1,412.14","1,384.78","","1.15%"
"12/11/2022","1,390.67","1,415.48","1,446.45","1,384.83","","-1.94%"
"12/04/2022","1,418.24","1,448.18","1,453.59","1,416.56","","-2.26%"
"11/27/2022","1,451.00","1,424.20","1,455.21","1,408.59","","1.47%"
"11/20/2022","1,429.94","1,386.92","1,431.10","1,380.07","","2.44%"
"11/13/2022","1,395.83","1,393.19","1,414.23","1,380.45","","-0.61%"
"11/06/2022","1,404.44","1,339.95","1,406.98","1,331.48","","5.35%"
"10/30/2022","1,333.07","1,292.89","1,336.74","1,267.99","","1.91%"
"10/23/2022","1,308.09","1,281.75","1,318.11","1,274.91","","2.25%"
"10/16/2022","1,279.34","1,238.02","1,280.18","1,238.02","","4.60%"
"10/09/2022","1,223.13","1,234.10","1,250.46","1,200.43","","-0.63%"
