"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2023","176.70","178.44","178.44","176.70","","0.40%"
"03/26/2023","176.00","149.50","179.75","148.37","1.63K","17.57%"
"03/19/2023","149.70","151.94","155.00","148.31","208.75K","-1.27%"
"03/12/2023","151.62","156.25","160.99","146.26","3.70K","-3.43%"
"03/05/2023","157.00","153.31","162.63","147.10","1.87K","1.37%"
"02/26/2023","154.88","147.27","157.12","146.75","4.96K","7.74%"
"02/19/2023","143.75","148.00","153.41","142.82","176.07K","-5.97%"
"02/12/2023","152.88","150.50","157.25","148.00","2.22K","2.52%"
"02/05/2023","149.12","171.40","171.40","142.50","2.27K","-14.96%"
"01/29/2023","175.35","158.81","175.94","156.50","3.16K","9.59%"
"01/22/2023","160.00","162.00","163.75","155.50","1.94K","1.51%"
"01/15/2023","157.62","163.71","165.82","154.00","17.29K","-0.87%"
"01/08/2023","159.00","150.00","161.00","149.00","4.06K","6.05%"
"01/01/2023","149.93","139.00","153.00","137.46","1.99K","9.07%"
"12/25/2022","137.46","129.25","139.24","129.25","19.07K","5.36%"
"12/18/2022","130.47","127.00","135.65","121.75","4.93K","2.33%"
"12/11/2022","127.50","125.00","134.20","122.00","9.41K","3.03%"
"12/04/2022","123.75","129.61","132.45","119.25","53.46K","-3.55%"
"11/27/2022","128.31","127.25","133.60","124.00","5.55K","0.83%"
"11/20/2022","127.25","125.36","131.00","125.00","53.70K","-6.26%"
"11/13/2022","135.75","137.00","138.75","127.41","22.36K","-0.64%"
"11/06/2022","136.62","116.75","145.40","112.50","4.39K","20.14%"
"10/30/2022","113.72","100.61","116.20","90.01","13.71K","12.59%"
"10/23/2022","101.00","98.00","107.50","94.30","9.39K","-4.49%"
"10/16/2022","105.75","111.00","120.00","99.94","17.00K","-6.99%"
"10/09/2022","113.70","110.90","118.09","104.50","20.10K","5.64%"
"10/02/2022","107.63","111.00","126.70","107.63","69.01K","-3.84%"
"09/25/2022","111.93","125.65","130.84","110.47","33.34K","-9.68%"
"09/18/2022","123.92","128.91","143.40","121.28","7.24K","-11.94%"
"09/11/2022","140.73","148.87","153.06","128.57","14.23K","-5.89%"
"09/04/2022","149.54","147.85","152.99","134.72","3.68K","-1.50%"
"08/28/2022","151.82","143.00","159.00","143.00","6.51K","0.21%"
"08/21/2022","151.50","161.50","163.00","150.00","125.86K","-8.75%"
"08/14/2022","166.02","179.79","179.80","164.29","1.80K","-7.43%"
"08/07/2022","179.34","177.47","180.57","171.29","2.75K","3.78%"
"07/31/2022","172.80","170.75","179.95","166.00","3.80K","3.13%"
"07/24/2022","167.55","177.71","186.84","156.03","6.75K","-6.40%"
"07/17/2022","179.01","161.90","187.59","161.81","7.63K","11.67%"
"07/10/2022","160.30","162.90","165.61","153.42","17.33K","-4.87%"
"07/03/2022","168.50","175.00","175.00","164.30","7.17K","-4.25%"
"06/26/2022","175.98","178.85","187.25","169.50","8.56K","-0.60%"
"06/19/2022","177.05","170.57","183.05","168.90","6.90K","-0.95%"
"06/12/2022","178.75","183.20","183.75","165.44","4.83K","-2.85%"
"06/05/2022","184.00","196.00","208.50","182.13","3.02K","-9.02%"
"05/29/2022","202.25","198.50","203.99","189.46","2.23K","6.31%"
"05/22/2022","190.25","185.38","196.00","178.51","54.09K","8.40%"
"05/15/2022","175.50","191.00","196.00","173.90","32.03K","-4.85%"
"05/08/2022","184.45","185.00","195.00","177.00","6.96K","-2.38%"
