"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2023","33,544.90","33,246.47","33,632.04","33,246.47","","0.82%"
"03/26/2023","33,273.10","32,276.72","33,290.83","32,276.72","","3.21%"
"03/19/2023","32,238.15","31,935.21","32,761.38","31,805.18","","1.19%"
"03/12/2023","31,858.89","31,624.87","32,306.59","31,429.98","","-0.16%"
"03/05/2023","31,909.96","33,425.32","33,571.44","31,784.37","","-4.43%"
"02/26/2023","33,390.35","32,906.16","33,405.55","32,500.84","","1.75%"
"02/19/2023","32,817.05","33,546.15","33,603.31","32,643.91","","-2.99%"
"02/12/2023","33,826.92","33,887.39","34,330.89","33,518.74","","-0.13%"
"02/05/2023","33,869.40","33,810.41","34,252.18","33,594.48","","-0.16%"
"01/29/2023","33,925.06","33,855.66","34,333.87","33,581.42","","-0.15%"
"01/22/2023","33,977.55","33,457.87","34,163.12","33,273.21","","1.81%"
"01/15/2023","33,374.37","34,245.96","34,269.97","32,949.75","","-2.71%"
"01/08/2023","34,302.81","33,725.58","34,342.28","33,426.17","","2.00%"
"01/01/2023","33,629.79","33,225.61","33,710.40","32,812.33","","1.46%"
"12/25/2022","33,147.28","33,271.90","33,387.12","32,848.07","","-0.17%"
"12/18/2022","33,204.26","32,897.72","33,437.84","32,573.43","","0.86%"
"12/11/2022","32,920.00","33,545.73","34,711.63","32,654.64","","-1.66%"
"12/04/2022","33,475.60","34,190.57","34,270.09","33,418.59","","-2.77%"
"11/27/2022","34,428.95","34,185.42","34,587.46","33,583.93","","0.24%"
"11/20/2022","34,346.83","33,770.81","34,385.89","33,559.60","","1.78%"
"11/13/2022","33,747.14","33,645.97","33,984.90","33,245.78","","-0.01%"
"11/06/2022","33,749.18","32,484.25","33,815.82","32,426.08","","4.15%"
"10/30/2022","32,404.80","32,672.03","33,070.28","31,728.85","","-1.39%"
"10/23/2022","32,861.34","31,251.86","32,888.75","31,165.23","","5.72%"
"10/16/2022","31,083.02","30,059.58","31,119.27","29,997.98","","4.86%"
"10/09/2022","29,643.67","29,420.35","30,415.38","28,666.77","","1.18%"
"10/02/2022","29,297.25","28,855.25","30,452.57","28,855.25","","1.97%"
"09/25/2022","28,730.12","29,463.75","29,811.20","28,723.55","","-2.92%"
"09/18/2022","29,592.85","30,570.64","31,026.89","29,252.57","","-3.99%"
"09/11/2022","30,821.50","32,260.54","32,503.16","30,550.55","","-4.14%"
"09/04/2022","32,151.71","31,407.33","32,225.92","31,050.26","","2.66%"
"08/28/2022","31,318.84","32,059.67","32,325.16","31,182.49","","-2.99%"
"08/21/2022","32,282.80","33,354.69","33,363.74","32,278.69","","-4.22%"
"08/14/2022","33,706.15","33,634.44","34,281.16","33,585.33","","-0.16%"
"08/07/2022","33,761.11","32,958.20","33,765.02","32,702.66","","2.93%"
"07/31/2022","32,801.51","32,755.71","32,971.43","32,388.30","","-0.14%"
"07/24/2022","32,846.45","31,986.05","32,906.21","31,705.93","","2.96%"
"07/17/2022","31,900.61","31,559.00","32,219.25","30,982.97","","1.96%"
"07/10/2022","31,286.02","31,183.56","31,367.29","30,145.31","","-0.17%"
"07/03/2022","31,339.20","30,701.12","31,509.74","30,355.33","","0.78%"
"06/26/2022","31,097.46","31,565.07","31,885.09","30,432.22","","-1.29%"
"06/19/2022","31,503.71","30,074.69","31,513.93","30,074.69","","5.42%"
"06/12/2022","29,885.08","31,144.91","31,144.91","29,654.59","","-4.80%"
"06/05/2022","31,392.36","33,032.04","33,234.91","31,387.84","","-4.58%"
"05/29/2022","32,898.91","33,027.03","33,270.83","32,512.06","","-0.95%"
"05/22/2022","33,213.55","31,497.56","33,213.62","31,367.33","","6.25%"
"05/15/2022","31,260.58","32,152.15","32,687.62","30,635.76","","-2.91%"
"05/08/2022","32,195.94","32,516.03","32,749.19","31,231.27","915.77M","-2.14%"
"05/01/2022","32,899.37","32,978.49","34,117.74","32,449.87","2.10B","-0.24%"
"04/24/2022","32,977.21","33,731.65","34,106.01","32,913.15","2.23B","-2.47%"
"04/17/2022","33,811.40","34,411.49","35,492.22","33,773.39","1.66B","-1.86%"
"04/10/2022","34,451.23","34,630.27","34,889.17","34,102.81","1.34B","-0.78%"
"04/03/2022","34,721.12","34,799.98","35,112.21","34,190.95","1.64B","-0.28%"
"03/27/2022","34,818.27","34,833.03","35,372.26","34,538.25","1.77B","-0.12%"
"03/20/2022","34,861.24","34,669.85","34,942.70","34,341.81","1.74B","0.31%"
"03/13/2022","34,754.93","33,000.37","34,755.20","32,818.16","2.19B","5.50%"
"03/06/2022","32,944.19","33,579.75","33,579.75","32,578.73","2.24B","-1.99%"
"02/27/2022","33,614.80","33,870.62","34,179.07","33,107.67","2.08B","-1.30%"
"02/20/2022","34,058.75","33,974.09","34,095.74","32,272.64","1.83B","-0.06%"
"02/13/2022","34,079.18","34,694.50","35,047.79","33,976.18","1.75B","-1.90%"
"02/06/2022","34,738.06","35,108.38","35,824.28","34,620.52","1.83B","-1.00%"
"01/30/2022","35,089.74","34,691.17","35,679.20","34,496.10","1.97B","1.05%"
