Date,adidas_Price,adidas_Open,adidas_High,adidas_Low,adidas_Vol.,adidas_Change %,adidas_Volume,adidas_PercentChange,adidas_PriceMA,adidas_PercentChangeMA,otcqx_Price,otcqx_Open,otcqx_High,otcqx_Low,otcqx_Vol.,otcqx_Change %,otcqx_PercentChange,otcqx_PriceMA,otcqx_PercentChangeMA,djia_Price,djia_Open,djia_High,djia_Low,djia_Vol.,djia_Change %,djia_PercentChange,djia_PriceMA,djia_PercentChangeMA
2013-01-06,89.74,89.74,89.74,89.74,0.10K,3.51%,100.0,3.51,,,,,,,,,,,,13488.43,"13,436.13","13,496.68","13,293.13",618.48M,0.40%,0.4,,
2013-01-13,93.31,91.15,93.31,91.15,0.37K,3.98%,370.0,3.98,,,,,,,,,,,,13649.7,"13,488.43","13,649.93","13,445.80",784.08M,1.20%,1.2,,
2013-01-20,93.0,93.0,93.25,92.95,0.57K,-0.33%,570.0,-0.33,,,,,,,,,,,,13895.98,"13,649.70","13,895.98","13,622.96",503.88M,1.80%,1.8,,
2013-01-27,95.69,95.69,95.69,95.69,0.10K,2.89%,100.0,2.89,,,,,,,,,,,,14009.79,"13,895.98","14,019.78","13,860.58",610.02M,0.82%,0.82,,
2013-02-03,91.15,91.15,91.15,91.15,27.67K,-4.74%,27670.0,-4.74,,,,,,,,,,,,13992.97,"14,009.79","14,022.62","13,852.20",610.76M,-0.12%,-0.12,,
2013-02-10,93.72,93.72,93.72,93.72,0.37K,2.82%,370.0,2.82,,,,,,,,,,,,13981.76,"13,992.97","14,038.97","13,906.73",633.25M,-0.08%,-0.08,,
2013-02-17,93.5,96.14,96.14,93.5,1.76K,-0.23%,1760.0,-0.23,,,,,,,,,,,,14000.57,"13,981.76","14,058.27","13,834.40",546.21M,0.13%,0.13,,
2013-02-24,90.8,93.05,93.05,90.8,1.30K,-2.89%,1300.0,-2.89,,,,,,,,,,,,14089.66,"14,000.57","14,149.15","13,784.01",694.86M,0.64%,0.64,,
2013-03-03,99.44,91.83,100.25,91.83,3.43K,9.52%,3430.0,9.52,,,,,,,,,,,,14397.07,"14,089.66","14,413.17","14,030.37",572.14M,2.18%,2.18,,
2013-03-10,100.4,100.4,100.4,100.4,0.10K,0.97%,100.0,0.97,,,,,,,,,,,,14514.11,"14,397.07","14,539.29","14,373.32",806.07M,0.81%,0.81,,
2013-03-17,103.7,103.45,103.85,103.4,7.16K,3.29%,7160.0,3.29,,,,,,,,,,,,14512.03,"14,514.11","14,546.82","14,382.09",574.94M,-0.01%,-0.01,,
2013-03-24,103.6,105.01,105.01,103.6,1.32K,-0.10%,1320.0,-0.1,,,,,,,,,,,,14578.54,"14,512.03","14,585.10","14,395.00",467.26M,0.46%,0.46,,
2013-03-31,103.5,103.5,103.5,103.5,0.11K,-0.10%,110.0,-0.1,,,,,,,,,,,,14565.25,"14,578.54","14,684.49","14,434.43",553.00M,-0.09%,-0.09,,
2013-04-07,103.8,103.8,103.8,103.8,42.80K,0.29%,42800.0,0.29,,,,,,,,,,,,14865.06,"14,565.25","14,887.51","14,497.80",619.92M,2.06%,2.06,,
2013-04-14,99.48,99.35,99.48,99.35,0.40K,-4.16%,400.0,-4.16,,,,,,,,,,,,14547.51,"14,865.06","14,865.06","14,444.03",821.27M,-2.14%,-2.14,,
2013-04-21,102.85,102.35,102.85,102.35,7.39K,3.39%,7390.0,3.39,,,,,,,,,,,,14712.55,"14,547.51","14,768.05","14,457.60",680.75M,1.13%,1.13,,
2013-04-28,111.01,103.82,111.01,103.82,0.30K,7.93%,300.0,7.93,,,,,,,,,,,,14973.96,"14,712.55","15,009.59","14,687.05",568.99M,1.78%,1.78,,
2013-05-05,107.35,110.75,111.25,107.35,0.71K,-3.30%,710.0,-3.3,,,,,,,,,,,,15118.49,"14,973.96","15,144.83","14,941.09",543.68M,0.97%,0.97,,
2013-05-12,110.25,107.5,110.25,107.5,0.25K,2.70%,250.0,2.7,,,,,,,,,,,,15354.4,"15,113.42","15,357.40","15,053.46",663.75M,1.56%,1.56,,
2013-05-19,112.75,112.9,112.9,112.75,0.28K,2.27%,280.0,2.27,,,,,,,,,,,,15303.1,"15,348.33","15,542.40","15,180.23",665.71M,-0.33%,-0.33,,
2013-05-26,110.0,111.75,111.75,110.0,0.20K,-2.44%,200.0,-2.44,,,,,,,,,,,,15115.57,"15,307.33","15,521.49","15,115.57",574.68M,-1.23%,-1.23,,
2013-06-02,107.87,108.32,108.87,107.87,3.29K,-1.94%,3290.0,-1.94,,,,,,,,,,,,15248.12,"15,123.55","15,304.98","14,844.22",701.45M,0.88%,0.88,,
2013-06-09,108.8,108.55,108.8,106.9,0.65K,0.86%,650.0,0.86,,,,,,,,,,,,15070.18,"15,247.81","15,300.64","14,953.45",513.55M,-1.17%,-1.17,,
2013-06-16,104.2,110.75,110.75,104.2,0.68K,-4.23%,680.0,-4.23,,,,,,,,,,,,14799.4,"15,078.71","15,340.09","14,688.43",942.56M,-1.80%,-1.8,,
2013-06-23,105.79,101.58,105.79,101.58,10.00K,1.53%,10000.0,1.53,,,,,,,,,,,,14909.6,"14,795.79","15,075.01","14,551.27",771.49M,0.74%,0.74,,
2013-06-30,103.9,108.52,108.52,103.9,0.97K,-1.79%,970.0,-1.79,101.52307692307691,0.7576923076923077,,,,,,,,,,15135.84,"14,911.60","15,137.51","14,858.93",392.74M,1.52%,1.52,14570.370769230769,0.46576923076923077
2013-07-07,111.8,111.52,111.8,111.52,16.85K,7.60%,16850.0,7.6,102.37153846153848,0.9149999999999999,,,,,,,,,,15464.3,"15,137.22","15,498.39","15,137.22",606.23M,2.17%,2.17,14646.36576923077,0.5338461538461539
2013-07-14,,,,,,,,,,,,,,,,,,,,15543.74,"15,459.69","15,589.40","15,415.71",697.18M,0.51%,0.51,14719.21346153846,0.5073076923076922
2013-07-21,,,,,,,,,,,,,,,,,,,,15558.83,"15,543.97","15,604.22","15,405.16",526.98M,0.10%,0.1,14783.169230769232,0.44192307692307686
2013-07-28,114.6,114.6,114.6,114.6,0.17K,2.50%,170.0,2.5,103.1903846153846,0.8580769230769232,,,,,,,,,,15658.36,"15,557.14","15,658.43","15,479.13",565.80M,0.64%,0.64,14846.575769230769,0.43499999999999994
2013-08-04,114.7,116.45,116.45,114.7,0.50K,0.09%,500.0,0.09,104.02499999999999,0.8742307692307693,,,,,,,,,,15425.51,"15,651.98","15,655.21","15,346.65",425.17M,-1.49%,-1.49,14901.673461538461,0.3823076923076923
2013-08-11,,,,,,,,,,,,,,,,,,,,15081.47,"15,415.22","15,504.14","15,054.38",533.84M,-2.23%,-2.23,14943.97,0.2996153846153846
2013-08-18,111.95,113.08,113.08,111.95,2.30K,-2.40%,2300.0,-2.4,104.65038461538462,0.6707692307692307,,,,,,,,,,15010.51,"15,076.79","15,106.39","14,880.84",597.68M,-0.47%,-0.47,14982.813846153846,0.2765384615384615
2013-08-25,106.7,112.55,112.8,106.7,2.24K,-4.69%,2240.0,-4.69,105.24846153846154,0.6726923076923078,,,,,,,,,,14810.31,"15,014.58","15,049.98","14,760.41",555.07M,-1.33%,-1.33,15010.531153846154,0.20076923076923076
